country,DISEASE,DISEASE_DESCRIPTION,WHO_zone,YEAR,Total_Cases,ANTIGEN_DESCRIPTION,ANTIGEN,Target,Doses
Zimbabwe,TTETANUS,"Total tetanus",AFR,1999,43,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,590573,342190
Zimbabwe,POLIO,Poliomyelitis,AFR,1999,2,"Polio, 3rd dose",POL3,406839,287316
Zimbabwe,MEASLES,Measles,AFR,1999,772,"Measles-containing vaccine, 1st dose",MCV1,406839,285400
Zambia,POLIO,Poliomyelitis,AFR,1999,29,"Polio, 3rd dose",POL3,429586,394711
Zambia,MEASLES,Measles,AFR,1999,23518,"Measles-containing vaccine, 1st dose",MCV1,429586,309525
Zambia,PERTUSSIS,Pertussis,AFR,1999,1051,"DTP-containing vaccine, 3rd dose",DTPCV3,429586,397132
Zambia,DIPHTHERIA,Diphtheria,AFR,1999,68,"DTP-containing vaccine, 3rd dose",DTPCV3,429586,397132
Zambia,TTETANUS,"Total tetanus",AFR,1999,261,"DTP-containing vaccine, 3rd dose",DTPCV3,429586,397132
Zambia,TTETANUS,"Total tetanus",AFR,1999,261,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,581917,322107
Zimbabwe,DIPHTHERIA,Diphtheria,AFR,1999,3,"DTP-containing vaccine, 3rd dose",DTPCV3,406839,192441
Zimbabwe,PERTUSSIS,Pertussis,AFR,1999,30,"DTP-containing vaccine, 3rd dose",DTPCV3,406839,192441
Zimbabwe,TTETANUS,"Total tetanus",AFR,1999,43,"DTP-containing vaccine, 3rd dose",DTPCV3,406839,192441
Mali,TTETANUS,"Total tetanus",AFR,1999,77,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,500294,140948
Mali,POLIO,Poliomyelitis,AFR,1999,22,"Polio, 3rd dose",POL3,400235,185660
Mali,MEASLES,Measles,AFR,1999,2506,"Measles-containing vaccine, 1st dose",MCV1,400235,183932
Madagascar,MEASLES,Measles,AFR,1999,35196,"Measles-containing vaccine, 1st dose",MCV1,615360,423688
Madagascar,PERTUSSIS,Pertussis,AFR,1999,3244,"DTP-containing vaccine, 3rd dose",DTPCV3,615360,412820
Madagascar,TTETANUS,"Total tetanus",AFR,1999,26,"DTP-containing vaccine, 3rd dose",DTPCV3,615360,412820
Mali,TTETANUS,"Total tetanus",AFR,1999,77,"DTP-containing vaccine, 3rd dose",DTPCV3,400235,185660
Mali,PERTUSSIS,Pertussis,AFR,1999,19,"DTP-containing vaccine, 3rd dose",DTPCV3,400235,185660
Guinea,TTETANUS,"Total tetanus",AFR,1999,287,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,389188,186589
Guinea-Bissau,TTETANUS,"Total tetanus",AFR,1999,21,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,52966,6984
Guinea-Bissau,MEASLES,Measles,AFR,1999,472,"Measles-containing vaccine, 1st dose",MCV1,43996,8389
Guinea-Bissau,TTETANUS,"Total tetanus",AFR,1999,21,"DTP-containing vaccine, 3rd dose",DTPCV3,43996,2819
