"DISEASE";"DISEASE_DESCRIPTION";"WHO_zone";"YEAR";"Total_Cases";"ANTIGEN_DESCRIPTION";"ANTIGEN";"Target";"Doses"
"CRS";"Congenital rubella syndrome";"AFR";2004.0;4.0;"Rubella-containing vaccine, 1st dose";"RCV1";20397.0;18485.0
"CRS";"Congenital rubella syndrome";"AFR";2005.0;3.0;"Rubella-containing vaccine, 1st dose";"RCV1";20239.0;18080.0
"CRS";"Congenital rubella syndrome";"AFR";2006.0;8.0;"Rubella-containing vaccine, 1st dose";"RCV1";19041.0;17521.0
"CRS";"Congenital rubella syndrome";"AFR";2007.0;1.0;"Rubella-containing vaccine, 1st dose";"RCV1";18258.0;16661.0
"CRS";"Congenital rubella syndrome";"AFR";2009.0;47.0;"Rubella-containing vaccine, 1st dose";"RCV1";16664.0;15587.0
"CRS";"Congenital rubella syndrome";"AFR";2010.0;16.0;"Rubella-containing vaccine, 1st dose";"RCV1";16177.0;14484.0
"CRS";"Congenital rubella syndrome";"AFR";2012.0;69.0;"Rubella-containing vaccine, 1st dose";"RCV1";15845.0;14196.0
"CRS";"Congenital rubella syndrome";"AFR";2013.0;3.0;"Rubella-containing vaccine, 1st dose";"RCV1";1036096.0;921508.0
"CRS";"Congenital rubella syndrome";"AFR";2014.0;14.0;"Rubella-containing vaccine, 1st dose";"RCV1";3674722.0;3499151.0
"CRS";"Congenital rubella syndrome";"AFR";2015.0;78.0;"Rubella-containing vaccine, 1st dose";"RCV1";4264082.0;4179050.0
"CRS";"Congenital rubella syndrome";"AFR";2016.0;14.0;"Rubella-containing vaccine, 1st dose";"RCV1";5108336.0;4755498.0
"CRS";"Congenital rubella syndrome";"AFR";2017.0;24.0;"Rubella-containing vaccine, 1st dose";"RCV1";10629419.0;9430718.0
"CRS";"Congenital rubella syndrome";"AFR";2018.0;18.0;"Rubella-containing vaccine, 1st dose";"RCV1";14423454.0;12986770.0
"CRS";"Congenital rubella syndrome";"AFR";2019.0;9.0;"Rubella-containing vaccine, 1st dose";"RCV1";12271483.0;11442998.0
"CRS";"Congenital rubella syndrome";"AFR";2020.0;28.0;"Rubella-containing vaccine, 1st dose";"RCV1";14969005.0;13736705.0
"CRS";"Congenital rubella syndrome";"AFR";2021.0;100.0;"Rubella-containing vaccine, 1st dose";"RCV1";16729875.0;14794233.0
"CRS";"Congenital rubella syndrome";"AFR";2022.0;5.0;"Rubella-containing vaccine, 1st dose";"RCV1";16426692.0;15281708.0
"CRS";"Congenital rubella syndrome";"AMR";2003.0;30.0;"Rubella-containing vaccine, 1st dose";"RCV1";3040839.0;3626412.0
"CRS";"Congenital rubella syndrome";"AMR";2004.0;27.0;"Rubella-containing vaccine, 1st dose";"RCV1";5574472.0;5610653.0
"CRS";"Congenital rubella syndrome";"AMR";2005.0;20.0;"Rubella-containing vaccine, 1st dose";"RCV1";13443571.0;11286000.0
"CRS";"Congenital rubella syndrome";"AMR";2006.0;15.0;"Rubella-containing vaccine, 1st dose";"RCV1";2944282.0;3102996.0
"CRS";"Congenital rubella syndrome";"AMR";2007.0;19.0;"Rubella-containing vaccine, 1st dose";"RCV1";856185.0;809923.0
"CRS";"Congenital rubella syndrome";"AMR";2008.0;230.0;"Rubella-containing vaccine, 1st dose";"RCV1";9608000.0;9139601.0
"CRS";"Congenital rubella syndrome";"AMR";2009.0;17.0;"Rubella-containing vaccine, 1st dose";"RCV1";9966495.0;9463412.0
"CRS";"Congenital rubella syndrome";"AMR";2011.0;1.0;"Rubella-containing vaccine, 1st dose";"RCV1";10101220.0;9596390.0
"CRS";"Congenital rubella syndrome";"AMR";2012.0;3.0;"Rubella-containing vaccine, 1st dose";"RCV1";10242350.0;9728742.0
"CRS";"Congenital rubella syndrome";"AMR";2013.0;1.0;"Rubella-containing vaccine, 1st dose";"RCV1";10564984.0;9979633.0
"CRS";"Congenital rubella syndrome";"AMR";2015.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";10419542.0;9853318.0
"CRS";"Congenital rubella syndrome";"AMR";2016.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";7407229.0;6902481.0
"CRS";"Congenital rubella syndrome";"AMR";2017.0;5.0;"Rubella-containing vaccine, 1st dose";"RCV1";10071494.0;8608138.0
"CRS";"Congenital rubella syndrome";"AMR";2020.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";9850940.0;8467961.0
"CRS";"Congenital rubella syndrome";"EMR";2004.0;3.0;"Rubella-containing vaccine, 1st dose";"RCV1";3308481.0;2785453.0
"CRS";"Congenital rubella syndrome";"EMR";2005.0;1.0;"Rubella-containing vaccine, 1st dose";"RCV1";2131903.0;1805986.0
"CRS";"Congenital rubella syndrome";"EMR";2006.0;23.0;"Rubella-containing vaccine, 1st dose";"RCV1";882644.0;1527504.0
"CRS";"Congenital rubella syndrome";"EMR";2008.0;1.0;"Rubella-containing vaccine, 1st dose";"RCV1";1159282.0;1070603.0
"CRS";"Congenital rubella syndrome";"EMR";2009.0;67.0;"Rubella-containing vaccine, 1st dose";"RCV1";600715.0;595750.0
"CRS";"Congenital rubella syndrome";"EMR";2010.0;5.0;"Rubella-containing vaccine, 1st dose";"RCV1";2489221.0;2444905.0
"CRS";"Congenital rubella syndrome";"EMR";2011.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";4607871.0;4364941.0
"CRS";"Congenital rubella syndrome";"EMR";2012.0;20.0;"Rubella-containing vaccine, 1st dose";"RCV1";2578077.0;2222858.0
"CRS";"Congenital rubella syndrome";"EMR";2013.0;13.0;"Rubella-containing vaccine, 1st dose";"RCV1";6153399.0;5571951.0
"CRS";"Congenital rubella syndrome";"EMR";2014.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";4085407.0;3740453.0
"CRS";"Congenital rubella syndrome";"EMR";2016.0;9.0;"Rubella-containing vaccine, 1st dose";"RCV1";8420111.0;7680428.0
"CRS";"Congenital rubella syndrome";"EMR";2017.0;13.0;"Rubella-containing vaccine, 1st dose";"RCV1";9030503.0;8385594.0
"CRS";"Congenital rubella syndrome";"EMR";2018.0;39.0;"Rubella-containing vaccine, 1st dose";"RCV1";6481174.0;5873316.0
"CRS";"Congenital rubella syndrome";"EMR";2019.0;26.0;"Rubella-containing vaccine, 1st dose";"RCV1";8541388.0;7835126.0
"CRS";"Congenital rubella syndrome";"EMR";2020.0;958.0;"Rubella-containing vaccine, 1st dose";"RCV1";7713433.0;7036131.0
"CRS";"Congenital rubella syndrome";"EMR";2021.0;200.0;"Rubella-containing vaccine, 1st dose";"RCV1";7472720.0;6768708.0
"CRS";"Congenital rubella syndrome";"EMR";2022.0;933.0;"Rubella-containing vaccine, 1st dose";"RCV1";14520041.0;13400995.0
"CRS";"Congenital rubella syndrome";"EUR";2000.0;47.0;"Rubella-containing vaccine, 1st dose";"RCV1";7593.0;3305.0
"CRS";"Congenital rubella syndrome";"EUR";2002.0;7.0;"Rubella-containing vaccine, 1st dose";"RCV1";295.0;282.0
"CRS";"Congenital rubella syndrome";"EUR";2003.0;13.0;"Rubella-containing vaccine, 1st dose";"RCV1";300.0;283.0
